2024-12-09 14:16:27,095 | INFO | system_logger | New shift created: Evening - שבת (Petah Tikva, prizon)
2024-12-09 14:16:27,107 | INFO | system_logger | New schedule created: 2024-12-08 - Petah Tikva (draft)
2024-12-09 14:16:27,107 | INFO | system_logger | Shift created: Evening - שבת (Petah Tikva, prizon), Schedule entry created for branch Petah Tikva
2024-12-09 14:16:27,108 | INFO | django.server | "POST /api/create-schedule/ HTTP/1.1" 201 42
2024-12-09 14:28:07,186 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:28:08,622 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:29:32,819 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:29:33,895 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
2024-12-09 14:30:50,814 | INFO | django.utils.autoreload | C:\Users\eva20\OneDrive\Documents\eyal16\MyProjects\shiftEasy\backend\shifts\views.py changed, reloading.
2024-12-09 14:30:52,336 | INFO | django.utils.autoreload | Watching for file changes with StatReloader
